
file1     file2
---------------------------------------
    x      x    /              
    x      x    /big           

group  : </> and </>
0 differences found
dataset: </big> and </big>
size:           [1073741824]           [1073741824]
position        big             big             difference          
------------------------------------------------------------
[ 268435456 ]          31              0               31             
[ 268435457 ]          31              0               31             
[ 268435458 ]          31              0               31             
[ 268435459 ]          31              0               31             
[ 268435460 ]          31              0               31             
[ 268435461 ]          31              0               31             
[ 268435462 ]          31              0               31             
[ 268435463 ]          31              0               31             
[ 268435464 ]          31              0               31             
[ 268435465 ]          31              0               31             
[ 268435466 ]          31              0               31             
[ 268435467 ]          31              0               31             
[ 268435468 ]          31              0               31             
[ 268435469 ]          31              0               31             
[ 268435470 ]          31              0               31             
[ 268435471 ]          31              0               31             
[ 268435472 ]          31              0               31             
[ 268435473 ]          31              0               31             
[ 268435474 ]          31              0               31             
[ 268435475 ]          31              0               31             
[ 268435476 ]          31              0               31             
[ 268435477 ]          31              0               31             
[ 268435478 ]          31              0               31             
[ 268435479 ]          31              0               31             
[ 268435480 ]          31              0               31             
[ 268435481 ]          31              0               31             
[ 268435482 ]          31              0               31             
[ 268435483 ]          31              0               31             
[ 268435484 ]          31              0               31             
[ 268435485 ]          31              0               31             
[ 268435486 ]          31              0               31             
[ 268435487 ]          31              0               31             
[ 268435488 ]          31              0               31             
[ 268435489 ]          31              0               31             
[ 268435490 ]          31              0               31             
[ 268435491 ]          31              0               31             
[ 268435492 ]          31              0               31             
[ 268435493 ]          31              0               31             
[ 268435494 ]          31              0               31             
[ 268435495 ]          31              0               31             
[ 268435496 ]          31              0               31             
[ 268435497 ]          31              0               31             
[ 268435498 ]          31              0               31             
[ 268435499 ]          31              0               31             
[ 268435500 ]          31              0               31             
[ 268435501 ]          31              0               31             
[ 268435502 ]          31              0               31             
[ 268435503 ]          31              0               31             
[ 268435504 ]          31              0               31             
[ 268435505 ]          31              0               31             
[ 268435506 ]          31              0               31             
[ 268435507 ]          31              0               31             
[ 268435508 ]          31              0               31             
[ 268435509 ]          31              0               31             
[ 268435510 ]          31              0               31             
[ 268435511 ]          31              0               31             
[ 268435512 ]          31              0               31             
